<<<<<<< HEAD
﻿cyear,cntyr,ccode,scode,country,year,un_region,un_continent,reg_id,demo_nr,demo_r,regime_r,regime_nr,duration_nr,duration_r,personal,personal2,lindex,exname,change,tdate,trans,occup,interreg
21950,United States 1950,2,USA,United States,1950,Northern America,Americas,201,1,1,Democracy,Democracy,142,141,NA,NA,NA,Harry Truman,0,07.04.1776,0,0,0
21951,United States 1951,2,USA,United States,1951,Northern America,Americas,201,1,1,Democracy,Democracy,143,142,NA,NA,NA,Harry Truman,0,,0,0,0
21952,United States 1952,2,USA,United States,1952,Northern America,Americas,201,1,1,Democracy,Democracy,144,143,NA,NA,NA,Harry Truman,0,,0,0,0
21953,United States 1953,2,USA,United States,1953,Northern America,Americas,201,1,1,Democracy,Democracy,145,144,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21954,United States 1954,2,USA,United States,1954,Northern America,Americas,201,1,1,Democracy,Democracy,146,145,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21955,United States 1955,2,USA,United States,1955,Northern America,Americas,201,1,1,Democracy,Democracy,147,146,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21956,United States 1956,2,USA,United States,1956,Northern America,Americas,201,1,1,Democracy,Democracy,148,147,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21957,United States 1957,2,USA,United States,1957,Northern America,Americas,201,1,1,Democracy,Democracy,149,148,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21958,United States 1958,2,USA,United States,1958,Northern America,Americas,201,1,1,Democracy,Democracy,150,149,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21959,United States 1959,2,USA,United States,1959,Northern America,Americas,201,1,1,Democracy,Democracy,151,150,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
21960,United States 1960,2,USA,United States,1960,Northern America,Americas,201,1,1,Democracy,Democracy,152,151,NA,NA,NA,Dwight D. Eisenhower,0,,0,0,0
